"dist" "year" "state" "obs" "pop_linear" "x1" "x2" "x3" "x4" "x5" "x6"
"Balrampur" 2010 "Uttar Pradesh" 5 469121 925 628 36.766 126.696 1.0015571829535 0.572318390259141
"Balrampur" 2011 "Uttar Pradesh" 16 481408 928 642 38.43 166.272 0.744648421228996 1.30313473715074
"Balrampur" 2012 "Uttar Pradesh" 5 493695 931 656 40.094 151.476 1.04456097102388 1.4987179149473
"Balrampur" 2013 "Uttar Pradesh" 7 505980 935 670 41.758 143.676 0.930679449179584 1.63976855331641
"Balrampur" 2014 "Uttar Pradesh" 13 518266 938 684 43.422 138.156 1.21091501495696 1.0379271556774
"Banda" 2001 "Uttar Pradesh" 21 317889 860 345 36.78 93.78 4.87857550798981 5.65914758926817
"Banda" 2002 "Uttar Pradesh" 21 325077 860 351 38.469 101.412 4.80238505651447 4.48222605274684
"Banda" 2003 "Uttar Pradesh" 13 332265 861 358 40.158 109.656 3.08855582911336 1.5127620387494
"Banda" 2004 "Uttar Pradesh" 27 339454 861 364 41.847 130.248 4.09512351450946 3.78488688462238
"Banda" 2005 "Uttar Pradesh" 22 346641 861 370 43.536 128.22 3.97009116550882 2.3820546993053
"Banda" 2006 "Uttar Pradesh" 17 353831 862 376 45.225 138.648 3.00622047139942 2.76572283368747
"Banda" 2007 "Uttar Pradesh" 16 361018 862 383 46.914 140.82 2.90008439837453 2.95926979425973
"Banda" 2008 "Uttar Pradesh" 36 368205 862 389 48.603 158.136 2.15565959688 4.89392989561947
"Banda" 2009 "Uttar Pradesh" 24 375394 862 395 50.292 161.124 1.31907660049873 2.98226014025799
"Banda" 2010 "Uttar Pradesh" 20 382582 863 402 51.981 185.688 2.08885303338156 3.105051806378
"Banda" 2011 "Uttar Pradesh" 29 389770 863 408 53.67 196.392 2.22295085611395 3.27885251276807
"Banda" 2012 "Uttar Pradesh" 36 396958 863 414 55.359 263.448 2.18823408415292 2.29764578836056
"Banda" 2013 "Uttar Pradesh" 32 404146 864 421 57.048 239.016 2.42331552645184 4.52352231604343
"Banda" 2014 "Uttar Pradesh" 39 411335 864 427 58.737 246.06 2.22643831891184 4.55889751015282
"Barabanki" 2001 "Uttar Pradesh" 35 574227 887 607 34.29 168.396 3.29146564102602 5.98448298368368
"Barabanki" 2002 "Uttar Pradesh" 27 590627 889 620 36.095 168.3 2.86008885342705 3.63011277550356
"Barabanki" 2003 "Uttar Pradesh" 16 607027 892 634 37.9 168.192 1.97708735490875 2.40845186870702
"Barabanki" 2004 "Uttar Pradesh" 25 623426 894 647 39.705 180.804 1.72678218017175 3.0306789284647
"Barabanki" 2005 "Uttar Pradesh" 21 639827 896 661 41.51 168 1.69283946181524 2.72927178537559
"Barabanki" 2006 "Uttar Pradesh" 25 656226 898 674 43.315 167.904 2.67562425023251 1.8966450381395
"Barabanki" 2007 "Uttar Pradesh" 35 672626 901 687 45.12 145.788 2.05858056221827 2.49021842203823
"Barabanki" 2008 "Uttar Pradesh" 47 689026 903 701 46.925 159.84 1.75771408632069 2.60402086862324
"Barabanki" 2009 "Uttar Pradesh" 39 705426 905 714 48.73 175.812 1.53170094432554 3.44632712473247
"Barabanki" 2010 "Uttar Pradesh" 20 721827 908 728 50.535 184.02 1.47030990691687 2.18982326562087
"Barabanki" 2011 "Uttar Pradesh" 25 738226 910 741 52.34 158.904 2.17744722833969 1.84009624930115
"Barabanki" 2012 "Uttar Pradesh" 31 754625 912 754 54.145 163.488 2.19477715194893 1.5934683431958
"Barabanki" 2013 "Uttar Pradesh" 26 771026 915 768 55.95 167.472 1.68004414094922 1.68004414094922
"Barabanki" 2014 "Uttar Pradesh" 25 787426 917 781 57.755 171.624 1.64702041005029 0.837957752481727
"Bareilly" 2001 "Uttar Pradesh" 57 771997 871 878 35.22 129.24 7.51674202292662 5.80336700299481
"Bareilly" 2002 "Uttar Pradesh" 62 798013 873 898 36.528 138.192 6.41568437215084 5.27872764797221
"Bareilly" 2003 "Uttar Pradesh" 37 824029 874 918 37.836 147.768 5.14434801885589 2.83734658771949
"Bareilly" 2004 "Uttar Pradesh" 44 850043 876 939 39.144 168.132 5.55874043097902 4.10411676679759
"Bareilly" 2005 "Uttar Pradesh" 37 876060 877 959 40.452 168.96 5.69960196931426 3.0279135461982
"Bareilly" 2006 "Uttar Pradesh" 31 902075 879 979 41.76 180.672 4.48645091822695 2.941117824171
"Bareilly" 2007 "Uttar Pradesh" 54 928090 881 999 43.068 192.864 3.3693298207663 2.53920508231663
"Bareilly" 2008 "Uttar Pradesh" 47 954106 882 1019 44.376 199.692 3.10915006121438 3.51573122306549
"Bareilly" 2009 "Uttar Pradesh" 47 980121 884 1040 45.684 209.76 3.18618619603573 3.0221913182986
"Bareilly" 2010 "Uttar Pradesh" 55 1006138 885 1060 46.992 214.248 2.63914974397953 2.29491282085176
"Bareilly" 2011 "Uttar Pradesh" 63 1032153 887 1080 48.3 265.548 2.60770320021383 2.8999458002378
"Bareilly" 2012 "Uttar Pradesh" 61 1058168 889 1100 49.608 284.52 2.51037732732898 3.21504464728097
"Bareilly" 2013 "Uttar Pradesh" 58 1084185 890 1120 50.916 307.164 2.45908163654903 3.04149570836327
"Bareilly" 2014 "Uttar Pradesh" 74 1110200 892 1141 52.224 293.304 2.78917630552468 3.19064865253202
"Basti" 2001 "Uttar Pradesh" 22 459699 938 776 36.92 78.588 2.30236366409665 4.84455687653671
"Basti" 2002 "Uttar Pradesh" 24 472907 940 790 38.851 83.292 2.16982667330193 3.63210117052715
"Basti" 2003 "Uttar Pradesh" 14 486116 943 804 40.782 88.296 1.76272758900615 1.62356488461092
"Basti" 2004 "Uttar Pradesh" 17 499324 946 818 42.713 101.58 1.55101139628432 1.82471928974626
"Basti" 2005 "Uttar Pradesh" 7 512532 948 832 44.644 99.192 1.12152937128409 1.16639054613546
"Basti" 2006 "Uttar Pradesh" 12 525741 950 846 46.575 105.144 1.32350761281579 1.41174145367017
"Basti" 2007 "Uttar Pradesh" 13 538949 953 861 48.506 115.308 1.04124004748055 1.25816505737233
"Basti" 2008 "Uttar Pradesh" 15 552157 956 875 50.437 113.52 1.10929594266476 1.23729162835685
"Basti" 2009 "Uttar Pradesh" 15 565365 958 889 52.368 119.292 1.00697751503124 1.51046627254686
"Basti" 2010 "Uttar Pradesh" 14 578574 960 903 54.299 124.152 0.990271408636322 0.701442247784061
"Basti" 2011 "Uttar Pradesh" 11 591782 963 917 56.23 135.552 0.852112264573554 0.365190970531523
"Basti" 2012 "Uttar Pradesh" 21 604990 966 931 58.161 149.652 1.31681856634371 1.43652934510223
"Basti" 2013 "Uttar Pradesh" 11 618199 968 945 60.092 156.996 1.05952281446931 1.41269708595909
"Basti" 2014 "Uttar Pradesh" 15 631407 970 959 62.023 180.444 1.19630703876189 0.926173191299529
"Bijnor" 2001 "Uttar Pradesh" 31 680959 896 687 46.1 227.244 3.95961322242584 4.2150721400017
"Bijnor" 2002 "Uttar Pradesh" 34 703307 898 699 47.462 228.78 3.36182400631395 2.16790520033329
"Bijnor" 2003 "Uttar Pradesh" 24 725652 900 711 48.824 230.316 2.5040110547451 1.54568583626241
"Bijnor" 2004 "Uttar Pradesh" 21 747998 902 723 50.186 210.732 2.61583192732367 1.4295825649327
"Bijnor" 2005 "Uttar Pradesh" 26 770344 904 735 51.548 233.448 1.85550966660681 1.07739270964266
"Bijnor" 2006 "Uttar Pradesh" 18 792693 906 747 52.91 235.02 2.53238657411088 0.912837020900434
"Bijnor" 2007 "Uttar Pradesh" 26 815040 909 759 54.272 244.752 2.86831562945186 1.04302386525522
"Bijnor" 2008 "Uttar Pradesh" 19 837385 911 771 55.634 244.908 2.65115276683425 1.02625268393584
"Bijnor" 2009 "Uttar Pradesh" 22 859732 913 783 56.996 257.028 2.21584333594934 1.20609194235217
